gene	unique	total
ENSG00000224328.1	708	708
ENSG00000196230.12	2522	3380
ENSG00000272540.1	743	743
ENSG00000137312.14	3415	3415
ENSG00000201988.2	61	81
ENSG00000272273.1	497	497
ENSG00000137331.11	1348	1353
ENSG00000263608.2	91	222
ENSG00000228022.5	1248	1366
ENSG00000214894.6	2016	2141
ENSG00000237923.1	749	769
ENSG00000202241.1	250	273
ENSG00000237775.1	3595	3964
ENSG00000204580.13	9898	9958
ENSG00000284370.1	0	60
ENSG00000213780.10	602	2433
ENSG00000137411.16	6722	8696
ENSG00000196260.4	1002	1198
ENSG00000252761.1	62	62
ENSG00000168631.12	5094	5094
ENSG00000233529.1	379	575
ENSG00000275906.1	626	626
ENSG00000204544.5	3403	3442
ENSG00000261272.1	5688	5688
ENSG00000228789.6	2297	2303
ENSG00000222895.1	58	70
ENSG00000204542.2	1089	1089
ENSG00000204540.10	5935	5961
ENSG00000204539.3	2522	2522
ENSG00000204538.3	1120	1120
ENSG00000238211.1	157	157
ENSG00000204536.13	5543	5557
ENSG00000137310.11	3564	3564
ENSG00000204531.17	1664	2945
ENSG00000204528.3	563	563
ENSG00000272501.1	2391	2802
ENSG00000206344.7	2582	2585
ENSG00000271821.1	484	487
ENSG00000255726.1	151	151
ENSG00000255899.1	246	254
ENSG00000204525.16	2264	2693
ENSG00000234745.10	2785	3173
ENSG00000214892.4	2632	3153
ENSG00000227939.1	676	1173
ENSG00000231402.1	1416	1425
ENSG00000256166.1	506	506
ENSG00000229836.1	276	276
ENSG00000277402.1	63	63
ENSG00000271581.1	865	961
ENSG00000228432.1	432	517
ENSG00000201658.1	73	77
ENSG00000230994.1	563	571
ENSG00000223702.1	385	399
ENSG00000225851.1	23	23
ENSG00000272221.1	1168	1177
ENSG00000204520.12	2063	2383
ENSG00000206337.10	3069	3134
ENSG00000199332.1	31	69
ENSG00000230174.1	2074	2111
ENSG00000233902.1	570	579
ENSG00000204516.9	2404	2793
ENSG00000201680.1	40	72
ENSG00000256851.1	203	203
ENSG00000219797.2	246	468
ENSG00000225499.1	510	550
ENSG00000204511.2	925	925
ENSG00000198563.13	5263	7437
ENSG00000254870.5	84	2369
ENSG00000201785.1	46	46
ENSG00000265236.1	0	48
ENSG00000234006.1	450	519
ENSG00000213760.10	1959	2193
ENSG00000204498.10	1797	1797
ENSG00000226979.8	1753	1753
ENSG00000232810.3	1646	1646
ENSG00000227507.2	1584	1584
ENSG00000204482.10	2694	2703
ENSG00000204475.9	1289	1289
ENSG00000230622.1	242	244
ENSG00000204472.12	1331	1331
ENSG00000204469.12	9169	9351
ENSG00000200816.1	102	102
ENSG00000274494.1	42	42
ENSG00000204463.12	5816	5827
ENSG00000204444.10	1649	1649
ENSG00000204439.3	2445	2445
ENSG00000227198.1	643	643
ENSG00000204438.10	3470	3583
ENSG00000201207.1	84	84
ENSG00000204435.13	2184	2985
ENSG00000263020.6	80	2550
ENSG00000240053.8	1047	3058
ENSG00000204428.12	2541	2661
ENSG00000204427.11	2514	4280
ENSG00000204422.7	35	2302
ENSG00000266776.1	33	33
ENSG00000204424.9	115	890
ENSG00000250641.1	142	1236
ENSG00000255552.7	604	1123
ENSG00000244355.7	323	642
ENSG00000204420.8	2918	3100
ENSG00000204421.2	1101	1101
ENSG00000213722.8	2722	2729
ENSG00000213719.8	1791	1961
ENSG00000204410.14	2994	6582
ENSG00000255152.8	256	4277
ENSG00000252743.1	73	73
ENSG00000228727.8	470	1553
ENSG00000235663.1	431	431
ENSG00000204396.10	3561	3680
ENSG00000204394.12	6324	6324
ENSG00000201555.1	47	59
ENSG00000204392.10	1131	1159
ENSG00000204390.9	2402	2514
ENSG00000204389.9	654	2476
ENSG00000204388.6	669	2491
ENSG00000204387.12	1917	1966
ENSG00000201823.1	25	34
ENSG00000201754.1	0	37
ENSG00000204386.10	4645	4929
ENSG00000204385.10	3384	3486
ENSG00000204371.11	7033	7413
ENSG00000237080.2	343	343
ENSG00000166278.14	3663	5779
ENSG00000204366.3	1600	1845
ENSG00000244255.5	108	4115
ENSG00000281756.1	702	732
ENSG00000243649.8	2959	5179
ENSG00000204356.13	2889	2961
ENSG00000284446.1	0	72
ENSG00000204351.11	5921	5921
ENSG00000204348.9	2775	2775
ENSG00000204344.14	3776	4141
ENSG00000244731.7	302	7409
ENSG00000233627.2	0	2065
ENSG00000204338.8	667	1999
ENSG00000248290.1	174	2008
ENSG00000250535.1	91	181
ENSG00000224389.8	227	7334
ENSG00000229776.1	0	2065
ENSG00000231852.6	1884	3189
ENSG00000168477.17	12758	14637
ENSG00000252512.1	83	91
ENSG00000213676.10	3343	3710
ENSG00000204315.3	1315	1315
ENSG00000204314.10	4391	4391
ENSG00000221988.12	1686	3132
ENSG00000258388.7	2486	5618
ENSG00000241404.6	999	2785
ENSG00000204310.12	3665	3665
ENSG00000284469.1	57	57
ENSG00000204308.7	835	1148
ENSG00000277264.1	31	31
ENSG00000204305.13	2375	2375
ENSG00000273333.2	31	632
ENSG00000204304.11	2980	4391
ENSG00000213654.9	1808	1877
ENSG00000204301.6	9426	9829
ENSG00000277427.1	629	629
ENSG00000225914.1	2348	3428
ENSG00000204296.11	2933	2933
ENSG00000237285.1	590	930
ENSG00000223335.1	50	77
ENSG00000228962.1	580	580
ENSG00000204290.10	1548	1548
ENSG00000204287.13	1279	1279
ENSG00000196301.3	308	313
ENSG00000198502.5	991	1230
ENSG00000251916.1	121	121
ENSG00000229391.7	1235	1324
ENSG00000196126.11	904	1199
ENSG00000196735.11	6713	7032
ENSG00000179344.16	4905	5051
ENSG00000223534.1	522	522
ENSG00000235040.1	591	802
ENSG00000232080.5	1030	1038
ENSG00000226030.1	325	326
ENSG00000237541.3	1226	1494
ENSG00000263649.1	38	38
ENSG00000232629.8	1855	2080
ENSG00000241106.6	1343	1912
ENSG00000250264.1	70	2675
ENSG00000204267.13	4381	6417
ENSG00000204264.8	2029	2029
ENSG00000204261.8	1959	2086
ENSG00000240065.7	2875	3095
ENSG00000168394.10	4374	4599
ENSG00000234515.1	506	648
ENSG00000235301.1	45	45
ENSG00000242574.8	4373	4795
ENSG00000248993.1	28	582
ENSG00000204257.14	2524	2668
ENSG00000204256.12	7291	7523
ENSG00000223837.2	122	308
ENSG00000263756.1	547	547
ENSG00000204252.13	3991	4123
ENSG00000231389.7	5908	5913
ENSG00000223865.10	2740	2870
ENSG00000224796.1	361	380
ENSG00000231461.1	702	703
ENSG00000228688.1	633	646
ENSG00000224557.7	1504	1570
ENSG00000237398.1	198	199
ENSG00000230313.1	661	687
ENSG00000204248.10	6807	6820
ENSG00000204231.10	3966	3966
ENSG00000202441.2	53	66
ENSG00000112473.17	2872	2872
ENSG00000204228.3	1166	1166
ENSG00000199036.1	80	80
ENSG00000204227.4	1785	1785
ENSG00000225463.1	594	594
ENSG00000223457.1	952	954
ENSG00000272217.1	564	564
ENSG00000232940.5	1365	1424
ENSG00000223501.8	4690	4690
ENSG00000231500.6	1574	2016
ENSG00000235863.3	2326	2326
ENSG00000227057.9	3263	3280
ENSG00000284517.1	16	33
ENSG00000204220.11	3010	3061
ENSG00000284064.1	0	51
ENSG00000237441.9	4698	4698
ENSG00000231925.11	4704	5189
ENSG00000236104.2	2697	2697
ENSG00000204209.11	3829	3834
ENSG00000229596.3	403	488
ENSG00000228285.2	355	666
ENSG00000225644.1	59	72
ENSG00000237649.7	3310	3319
ENSG00000204194.1	188	468
ENSG00000112511.17	3809	3809
ENSG00000112514.15	2183	2183
ENSG00000197283.15	9313	12239
ENSG00000274259.2	719	748
ENSG00000284256.1	77	77
ENSG00000213588.5	118	3039
ENSG00000204188.7	1908	1915
ENSG00000242014.3	262	277
ENSG00000276746.1	151	221
ENSG00000030110.12	1866	2238
ENSG00000197251.3	2062	2077
ENSG00000096433.10	9840	9840
ENSG00000137288.9	4711	4711
ENSG00000266509.1	77	77
ENSG00000161896.11	2804	2804
ENSG00000161904.11	6949	6949
ENSG00000096395.10	594	594
ENSG00000249346.6	3779	3818
ENSG00000271362.1	212	212
ENSG00000233183.2	10087	10320
ENSG00000276824.1	36	36
ENSG00000221697.1	50	50
ENSG00000124493.13	16321	16419
ENSG00000271231.1	1186	1270
ENSG00000214810.4	160	281
ENSG00000137309.19	1953	2385
ENSG00000276404.1	34	34
ENSG00000186577.12	2359	2359
ENSG00000225339.3	7956	8310
ENSG00000220583.1	158	333
ENSG00000272325.1	5442	9868
ENSG00000270800.2	62	5023
ENSG00000124614.13	903	1668
ENSG00000124507.10	4758	4770
ENSG00000124664.10	1912	1912
ENSG00000196114.3	332	369
ENSG00000196821.9	4474	4549
ENSG00000216636.1	504	691
ENSG00000265123.2	224	258
ENSG00000220643.1	250	250
ENSG00000272288.5	741	741
ENSG00000186328.4	298	298
ENSG00000217130.1	257	468
ENSG00000124562.9	1171	1300
ENSG00000065060.16	9707	9878
ENSG00000206717.1	52	68
ENSG00000252106.2	0	67
ENSG00000064995.16	1570	1578
ENSG00000064999.13	6739	6745
ENSG00000187762.5	269	280
ENSG00000273870.1	97	149
ENSG00000124678.17	3780	3780
ENSG00000146197.8	7176	7326
ENSG00000272374.1	4114	4231
ENSG00000065029.14	6961	6961
ENSG00000217004.1	297	298
ENSG00000023892.10	2540	2540
ENSG00000112033.13	4321	4511
ENSG00000227154.3	475	475
ENSG00000112039.3	2512	2524
ENSG00000198755.10	1099	1571
ENSG00000276712.1	42	42
ENSG00000007866.19	3011	3039
ENSG00000112041.12	3021	3030
ENSG00000228559.1	565	565
ENSG00000219023.1	188	362
ENSG00000096060.14	10374	10647
ENSG00000218749.1	228	277
ENSG00000212579.1	49	98
ENSG00000265527.1	43	43
ENSG00000232909.1	615	639
ENSG00000157343.8	1471	1471
ENSG00000220734.1	571	598
ENSG00000196748.9	666	666
ENSG00000204140.9	760	760
ENSG00000137392.9	587	599
ENSG00000197753.8	2725	2901
ENSG00000096063.15	6882	6903
ENSG00000112053.13	5769	6191
ENSG00000271304.1	527	527
ENSG00000112062.10	6965	6965
ENSG00000237719.1	618	626
ENSG00000156711.16	6928	7222
ENSG00000246982.6	1406	1433
ENSG00000096070.19	6845	6845
ENSG00000180316.12	2955	3058
ENSG00000189325.6	3706	3706
ENSG00000010030.13	2482	2482
ENSG00000224666.3	319	319
ENSG00000179165.10	2103	2103
ENSG00000112078.13	6199	6395
ENSG00000240733.3	230	260
ENSG00000112079.8	3546	3546
ENSG00000239964.3	273	281
ENSG00000112081.16	7000	7221
ENSG00000263894.1	47	47
ENSG00000238554.1	59	98
ENSG00000251864.1	71	77
ENSG00000281450.1	1454	1476
ENSG00000213500.3	1101	1424
ENSG00000124762.13	3091	3091
ENSG00000255587.7	4206	4206
ENSG00000220349.4	907	907
ENSG00000124772.11	6432	6432
ENSG00000137168.7	1771	1778
ENSG00000198663.16	7255	7365
ENSG00000232598.2	467	467
ENSG00000164530.13	2325	2325
ENSG00000137409.19	3143	3179
ENSG00000146192.14	10094	10375
ENSG00000226976.3	81	300
ENSG00000216412.4	218	463
ENSG00000137193.13	2968	2973
ENSG00000172738.11	2781	2811
ENSG00000065491.8	3423	3432
ENSG00000275550.1	125	129
ENSG00000112130.16	6515	6707
ENSG00000239953.3	149	269
ENSG00000137200.12	5352	5352
ENSG00000198937.8	589	589
ENSG00000204110.6	507	507
ENSG00000229559.2	913	913
ENSG00000227920.2	968	968
ENSG00000263926.1	28	28
ENSG00000279942.1	3715	3715
ENSG00000112139.14	14213	14222
ENSG00000225945.1	389	389
ENSG00000156639.11	3958	4057
ENSG00000243313.2	219	234
ENSG00000200597.1	128	140
ENSG00000218521.1	448	452
ENSG00000183826.16	9572	9620
ENSG00000200706.1	36	42
ENSG00000226533.1	530	530
ENSG00000199938.1	76	76
ENSG00000217227.1	1132	1177
ENSG00000124767.6	2322	2322
ENSG00000236355.2	370	370
ENSG00000124721.17	15079	15079
ENSG00000244297.3	263	271
ENSG00000219273.1	1722	1760
ENSG00000212586.1	68	68
ENSG00000231150.5	1181	1181
ENSG00000220076.1	88	93
ENSG00000220556.4	351	353
ENSG00000112164.5	3058	3068
ENSG00000112167.9	2891	2894
ENSG00000217165.1	2578	2602
ENSG00000164626.8	3726	3726
ENSG00000124780.13	2194	2197
ENSG00000095981.10	1883	1883
ENSG00000164627.17	11540	11921
ENSG00000218986.1	396	396
ENSG00000231276.2	1103	1103
ENSG00000252990.1	90	90
ENSG00000146122.16	12939	13111
ENSG00000281969.1	4447	4447
ENSG00000235033.7	6806	6906
ENSG00000124615.17	4972	5302
ENSG00000180211.5	293	390
ENSG00000220586.1	1054	1069
ENSG00000227131.1	509	509
ENSG00000204091.7	1614	1614
ENSG00000204092.2	524	524
ENSG00000226070.1	790	794
ENSG00000156564.8	3240	3240
ENSG00000252767.1	73	73
ENSG00000236075.1	262	262
ENSG00000226454.1	391	391
ENSG00000237947.1	583	583
ENSG00000124602.9	2418	3136
ENSG00000124596.16	5931	6655
ENSG00000112212.11	1015	1015
ENSG00000124701.5	1121	1121
ENSG00000001167.14	3808	3811
ENSG00000161912.17	6022	6050
ENSG00000161911.11	1507	1507
ENSG00000095970.16	1117	1117
ENSG00000112195.8	3121	3245
ENSG00000184106.8	901	948
ENSG00000188056.11	2686	2733
ENSG00000212176.1	73	77
ENSG00000225690.1	433	546
ENSG00000274256.1	217	217
ENSG00000278745.1	133	133
ENSG00000124731.12	4321	4321
ENSG00000218809.1	335	335
ENSG00000206745.1	58	77
ENSG00000213461.3	346	370
ENSG00000096264.13	1246	1246
ENSG00000279284.1	411	411
ENSG00000280371.1	713	713
ENSG00000234753.5	899	899
ENSG00000226917.5	965	965
ENSG00000137166.14	6102	6224
ENSG00000266494.1	36	36
ENSG00000112559.13	2604	2604
ENSG00000230913.1	560	714
ENSG00000112561.17	5697	5757
ENSG00000231102.1	378	378
ENSG00000096088.16	2021	2021
ENSG00000269387.1	139	139
ENSG00000137218.10	2783	2850
ENSG00000124593.15	1999	4553
ENSG00000278224.5	278	2197
ENSG00000214736.7	0	635
ENSG00000164663.14	10621	10971
ENSG00000268745.1	38	38
ENSG00000206977.1	110	110
ENSG00000227516.1	320	373
ENSG00000124641.15	3333	3353
ENSG00000207371.1	81	81
ENSG00000112578.9	2267	2267
ENSG00000112576.12	5875	5946
ENSG00000206875.1	48	77
ENSG00000223946.1	131	131
ENSG00000137413.15	8372	9285
ENSG00000261068.2	1860	1997
ENSG00000188112.8	6546	6821
ENSG00000048545.13	1707	2392
ENSG00000214732.2	0	685
ENSG00000112599.8	1083	1083
ENSG00000048544.5	1735	2080
ENSG00000124496.12	7841	7841
ENSG00000237107.3	250	283
ENSG00000024048.10	8738	8822
ENSG00000206848.1	48	77
ENSG00000112619.7	2946	2946
ENSG00000213435.3	413	437
ENSG00000124659.6	1557	1586
ENSG00000112624.12	6813	6813
ENSG00000146223.14	5775	7947
ENSG00000221821.3	522	522
ENSG00000171611.9	1218	1218
ENSG00000137161.16	1709	1711
ENSG00000231113.2	1336	1458
ENSG00000181524.6	146	391
ENSG00000124713.5	1042	1042
ENSG00000124587.13	3497	3497
ENSG00000112640.14	3458	3458
ENSG00000124733.3	1059	1059
ENSG00000124702.17	2043	2043
ENSG00000124541.6	2132	2203
ENSG00000272223.1	479	479
ENSG00000240625.3	177	273
ENSG00000044090.8	5513	5636
ENSG00000137171.14	6616	6734
ENSG00000112651.11	2547	2636
ENSG00000272170.1	379	379
ENSG00000112655.15	9162	9327
ENSG00000112658.7	4172	4172
ENSG00000112659.13	12513	12639
ENSG00000245261.1	950	950
ENSG00000112667.12	1277	1277
ENSG00000146216.11	7453	7470
ENSG00000137204.14	3597	3597
ENSG00000146215.13	2225	2563
ENSG00000171467.15	9001	9525
ENSG00000219222.1	47	97
ENSG00000220614.1	289	313
ENSG00000179157.4	485	711
ENSG00000226558.1	45	45
ENSG00000124574.14	7875	8195
ENSG00000276770.1	49	49
ENSG00000171462.14	2163	2260
ENSG00000207076.1	62	77
ENSG00000137221.14	6818	7082
ENSG00000204052.4	2091	2091
ENSG00000171453.17	2931	3053
ENSG00000137207.11	3273	3343
ENSG00000271754.1	515	515
ENSG00000124571.17	8537	8688
ENSG00000219470.1	298	852
ENSG00000252218.1	80	97
ENSG00000271970.1	518	518
ENSG00000170734.11	3358	3566
ENSG00000203362.2	869	960
ENSG00000172432.18	4605	4692
ENSG00000124688.13	1819	1848
ENSG00000172426.15	2654	2654
ENSG00000096080.11	1239	1305
ENSG00000218107.1	765	773
ENSG00000236961.1	318	318
ENSG00000112715.21	14771	14771
ENSG00000272114.1	158	158
ENSG00000283573.1	450	450
ENSG00000283215.1	1226	1337
ENSG00000223469.1	253	364
ENSG00000237686.6	2183	2272
ENSG00000181577.15	3950	3954
ENSG00000231881.1	1578	1578
ENSG00000183239.5	336	425
ENSG00000180992.6	929	929
ENSG00000137216.18	4535	4535
ENSG00000137225.12	3679	3679
ENSG00000265439.2	128	268
ENSG00000262179.2	819	819
ENSG00000112759.16	3473	3473
ENSG00000096384.19	1912	2973
ENSG00000157593.18	2360	2410
ENSG00000284427.1	0	50
ENSG00000146232.15	2605	2605
ENSG00000178233.17	4763	5427
ENSG00000272442.2	1836	3483
ENSG00000146221.9	3040	3050
ENSG00000124608.4	4101	4295
ENSG00000249481.6	739	1577
ENSG00000096401.7	6266	6393
ENSG00000266619.1	52	52
ENSG00000237530.1	443	443
ENSG00000279076.1	1675	1675
ENSG00000196284.15	3215	3221
ENSG00000270900.1	555	555
ENSG00000276156.1	209	209
ENSG00000277769.1	1183	1210
ENSG00000219384.1	612	612
ENSG00000207769.1	67	67
ENSG00000124813.20	8301	8326
ENSG00000271857.1	897	897
ENSG00000261080.1	1379	1483
ENSG00000112782.15	9035	9035
ENSG00000212468.1	77	77
ENSG00000231769.2	691	710
ENSG00000001561.6	4621	4621
ENSG00000112796.9	4208	4263
ENSG00000229349.2	2451	2628
ENSG00000172348.14	3708	3708
ENSG00000226541.1	280	280
ENSG00000236466.1	586	592
ENSG00000146233.7	3135	3135
ENSG00000153291.15	3353	3361
ENSG00000242973.6	572	572
ENSG00000180113.15	9068	9068
ENSG00000146070.16	1949	1990
ENSG00000230062.5	3643	3660
ENSG00000236164.1	731	731
ENSG00000112818.9	2732	2979
ENSG00000069122.18	6041	6617
ENSG00000225730.1	751	751
ENSG00000153292.15	12197	12621
ENSG00000146072.6	3540	3562
ENSG00000271328.1	258	258
ENSG00000270761.1	300	300
ENSG00000198087.7	6668	6704
ENSG00000199762.1	74	74
ENSG00000216813.1	355	367
ENSG00000164393.8	6261	6379
ENSG00000153294.11	3337	3385
ENSG00000252711.1	289	289
ENSG00000226594.1	167	167
ENSG00000216616.1	371	383
ENSG00000124818.15	5102	5102
ENSG00000200340.1	131	131
ENSG00000244694.7	4840	5146
ENSG00000226068.1	543	773
ENSG00000216835.3	990	1161
ENSG00000278736.1	324	352
ENSG00000271162.1	682	682
ENSG00000218337.1	266	310
ENSG00000274867.1	538	549
ENSG00000217631.1	140	165
ENSG00000252457.1	29	32
ENSG00000277043.1	1286	1301
ENSG00000146085.7	3719	3719
ENSG00000031691.6	1703	1703
ENSG00000203972.9	1122	1122
ENSG00000197261.11	2783	3021
ENSG00000216998.1	1143	1143
ENSG00000112077.15	1939	1939
ENSG00000124490.13	1558	1576
ENSG00000279127.1	1971	2047
ENSG00000096006.11	2255	2273
ENSG00000170950.5	1606	1627
ENSG00000235122.3	347	347
ENSG00000226707.1	367	370
ENSG00000124812.14	1997	1997
ENSG00000214643.6	581	607
ENSG00000177684.3	223	223
ENSG00000214642.1	219	219
ENSG00000203970.3	485	485
ENSG00000180872.4	312	312
ENSG00000226733.2	1254	1254
ENSG00000233470.1	255	255
ENSG00000230472.5	824	824
ENSG00000008197.4	1826	1826
ENSG00000008196.12	6145	6146
ENSG00000060303.5	327	378
ENSG00000216913.2	556	581
ENSG00000230204.1	266	515
ENSG00000270306.1	538	538
ENSG00000232702.3	164	427
ENSG00000212532.1	46	46
ENSG00000214641.3	315	359
ENSG00000228689.7	1425	1444
ENSG00000170927.14	17424	17424
ENSG00000240641.3	254	257
ENSG00000207604.3	56	56
ENSG00000225613.2	432	432
ENSG00000199080.1	89	89
ENSG00000112115.5	1829	1829
ENSG00000112116.9	1036	1036
ENSG00000218363.1	855	873
ENSG00000112118.18	3662	3677
ENSG00000170915.8	4850	5025
ENSG00000096093.15	22889	23267
ENSG00000065308.4	6773	6878
ENSG00000225791.6	2562	2568
ENSG00000270382.1	233	249
ENSG00000216775.2	3037	3037
ENSG00000096092.5	962	962
ENSG00000220377.1	607	607
ENSG00000271227.1	286	308
ENSG00000237674.1	361	418
ENSG00000244067.2	889	1283
ENSG00000217228.1	296	478
ENSG00000243955.5	551	1048
ENSG00000223622.2	403	552
ENSG00000182793.11	703	932
ENSG00000230375.1	543	639
ENSG00000230845.1	458	546
ENSG00000174156.14	836	956
ENSG00000243236.6	880	886
ENSG00000170899.10	2187	2196
ENSG00000202198.1	2	301
ENSG00000283293.1	0	298
ENSG00000112144.15	6114	6259
ENSG00000112146.16	7768	8245
ENSG00000242865.3	0	267
ENSG00000261745.2	473	473
ENSG00000137270.10	2639	2735
ENSG00000253026.1	74	74
ENSG00000219074.1	410	410
ENSG00000218713.1	1918	2070
ENSG00000206908.1	121	134
ENSG00000219163.2	554	647
ENSG00000012660.13	3924	3924
ENSG00000264056.1	49	49
ENSG00000217527.1	374	374
ENSG00000271367.1	518	518
ENSG00000219863.5	289	321
ENSG00000218049.1	310	310
ENSG00000218261.1	295	329
ENSG00000271338.1	652	655
ENSG00000253010.1	284	284
ENSG00000271373.1	218	256
ENSG00000001084.10	7791	8549
ENSG00000249379.1	517	517
ENSG00000231683.6	3559	4081
ENSG00000235899.1	536	536
ENSG00000124743.5	5713	5713
ENSG00000227885.1	820	820
ENSG00000228614.1	453	453
ENSG00000137269.14	4821	4891
ENSG00000271218.1	426	426
ENSG00000146147.14	7109	7510
ENSG00000236740.6	2776	3225
ENSG00000235050.6	4226	4242
ENSG00000236996.1	613	613
ENSG00000218143.2	269	269
ENSG00000137251.15	2120	2120
ENSG00000228231.2	390	390
ENSG00000213335.4	589	652
ENSG00000216347.1	622	634
ENSG00000220773.1	704	854
ENSG00000220635.2	461	522
ENSG00000251946.1	76	76
ENSG00000224984.1	556	556
ENSG00000168143.8	3137	3137
ENSG00000261116.1	1903	1903
ENSG00000137252.9	1934	1934
ENSG00000187871.2	1771	1881
ENSG00000146151.12	4929	4929
ENSG00000220725.1	350	350
ENSG00000112175.7	3919	3922
ENSG00000214604.3	749	805
ENSG00000124749.16	7329	7329
ENSG00000219095.1	189	238
ENSG00000227602.1	231	300
ENSG00000220666.2	1110	1234
ENSG00000151914.19	42389	42512
ENSG00000231441.1	521	521
ENSG00000216854.2	324	523
ENSG00000200224.2	57	77
ENSG00000151917.17	5559	5586
ENSG00000219790.3	368	427
ENSG00000218980.2	191	250
ENSG00000276576.1	374	438
ENSG00000168116.13	3036	3138
ENSG00000112200.16	16107	16567
ENSG00000226803.7	5226	5351
ENSG00000112208.11	6458	6621
ENSG00000112210.11	4896	4896
ENSG00000146143.17	3774	4634
ENSG00000212017.2	51	51
ENSG00000266579.1	315	315
ENSG00000272541.1	184	548
ENSG00000271761.1	510	510
ENSG00000272316.1	2483	5321
ENSG00000239650.4	73	642
ENSG00000283352.1	42	674
ENSG00000218189.4	648	1525
ENSG00000215190.9	2300	3025
ENSG00000225096.2	6562	6842
ENSG00000214563.2	572	945
ENSG00000216687.2	1160	1385
ENSG00000214561.3	658	1259
ENSG00000275046.1	132	133
ENSG00000283453.1	369	1041
ENSG00000277172.1	540	945
ENSG00000275773.1	114	285
ENSG00000274844.1	94	319
ENSG00000276290.1	670	1253
ENSG00000220030.1	384	384
ENSG00000255633.5	45	45
ENSG00000250686.2	496	632
ENSG00000112232.8	2160	2302
ENSG00000216859.1	524	534
ENSG00000217067.2	344	362
ENSG00000262566.1	145	145
ENSG00000217477.2	484	529
ENSG00000198225.5	892	1549
ENSG00000219940.2	169	229
ENSG00000218520.5	554	994
ENSG00000146166.16	5805	5906
ENSG00000218617.1	355	355
ENSG00000218274.2	1518	1518
ENSG00000218048.2	924	938
ENSG00000225121.2	517	518
ENSG00000112245.10	5898	5993
ENSG00000213312.3	572	771
ENSG00000266680.1	1374	1374
ENSG00000262651.1	111	113
ENSG00000213309.3	354	505
ENSG00000118482.11	10390	10484
ENSG00000188107.14	16839	17144
ENSG00000218813.1	813	813
ENSG00000236345.1	1349	1424
ENSG00000219653.1	299	299
ENSG00000232120.1	495	495
ENSG00000217811.1	448	448
ENSG00000243828.2	1005	1010
ENSG00000214558.4	149	2406
ENSG00000220483.4	647	841
ENSG00000233859.2	586	1080
ENSG00000218890.1	787	1449
ENSG00000270521.1	276	556
ENSG00000238949.1	32	32
ENSG00000212229.1	43	43
ENSG00000271111.1	875	875
ENSG00000251965.1	48	48
ENSG00000201015.1	51	74
ENSG00000206672.1	79	79
ENSG00000227706.3	1575	1575
ENSG00000270509.1	1138	1168
ENSG00000223504.1	462	462
ENSG00000226497.1	586	644
ENSG00000218834.1	160	160
ENSG00000230910.2	2945	2945
ENSG00000135298.13	6487	6487
ENSG00000168216.10	2400	2400
ENSG00000219085.1	592	844
ENSG00000219881.1	946	951
ENSG00000082293.12	8422	8479
ENSG00000216365.2	254	257
ENSG00000112280.15	7003	7103
ENSG00000253809.1	224	224
ENSG00000237643.1	367	367
ENSG00000224349.2	319	319
ENSG00000082269.16	10579	10869
ENSG00000238386.1	16	33
ENSG00000154079.5	1258	1408
ENSG00000271967.1	513	513
ENSG00000232389.1	634	1071
ENSG00000218870.1	748	748
ENSG00000112305.14	4185	4185
ENSG00000262803.1	748	751
ENSG00000217767.2	430	430
ENSG00000112309.10	6556	6564
ENSG00000219669.1	782	782
ENSG00000221345.2	183	183
ENSG00000218350.1	319	665
ENSG00000207180.1	55	77
ENSG00000232295.7	5068	5586
ENSG00000276127.1	1197	1201
ENSG00000119900.7	8816	9017
ENSG00000269966.1	27	702
ENSG00000230597.1	322	322
ENSG00000233237.6	3293	3530
ENSG00000279312.1	2063	2064
ENSG00000199094.3	42	42
ENSG00000279289.1	3817	3948
ENSG00000207827.1	41	41
ENSG00000223765.2	422	422
ENSG00000219575.1	652	656
ENSG00000218014.1	1033	1156
ENSG00000202069.1	108	108
ENSG00000079841.18	13047	13141
ENSG00000218732.1	749	808
ENSG00000217483.1	568	568
ENSG00000181514.6	956	1154
ENSG00000185760.15	7626	7638
ENSG00000233844.1	533	533
ENSG00000266180.1	37	37
ENSG00000232422.1	1275	1408
ENSG00000220515.2	646	731
ENSG00000229154.1	1071	1071
ENSG00000234025.1	540	593
ENSG00000251360.2	331	478
ENSG00000243501.5	370	1586
ENSG00000256980.4	482	923
ENSG00000135314.12	2563	3417
ENSG00000229852.2	5246	6628
ENSG00000239626.1	128	830
ENSG00000234882.1	1093	1286
ENSG00000223389.1	584	584
ENSG00000226840.1	1057	1138
ENSG00000203909.3	589	649
ENSG00000203908.3	988	988
ENSG00000203907.9	1420	1466
ENSG00000231332.2	407	433
ENSG00000235174.1	0	126
ENSG00000224221.1	700	700
ENSG00000080007.7	2703	2775
ENSG00000164430.15	3856	4125
ENSG00000135297.15	11305	12452
ENSG00000207023.1	73	75
ENSG00000271986.2	229	258
ENSG00000223821.1	322	340
ENSG00000156508.17	4687	6177
ENSG00000229862.5	783	802
ENSG00000223967.1	106	106
ENSG00000119899.12	3447	3574
ENSG00000218459.1	167	222
ENSG00000231652.2	1910	1943
ENSG00000156535.13	9483	9593
ENSG00000279790.1	1526	1740
ENSG00000217268.1	263	263
ENSG00000223786.1	639	639
ENSG00000217178.1	324	365
ENSG00000272243.5	1228	1231
ENSG00000218483.1	237	237
ENSG00000224583.1	411	411
